Id,UserId,IsFrozen
0Yw0N000005AnR2SAK,0050N000005wf9dQAA,TRUE
0Yw0N000005AnSjSAK,0050N000005wfBPQAY,TRUE
0Yw0N000005BNuySAG,0050N000005xFgnQAE,TRUE
0Yw0N000005BNv3SAG,0050N000005xFgsQAE,TRUE
0Yw0N000005BNvDSAW,0050N000005xFh2QAE,TRUE
0Yw0N000005IP02SAG,0050N000006ozyxQAA,TRUE
0Yw0N000005IP07SAG,0050N000006ozz2QAA,TRUE
0Yw0N000005IP0HSAW,0050N000006ozzCQAQ,TRUE
0Yw0N000005IQCOSA4,0050N000006p25FQAQ,TRUE
0Yw0N000005IQDgSAO,0050N000006p26cQAA,TRUE
0Yw0N000005IUMwSAO,0050N000006p7wcQAA,TRUE
0Yw0N0000062L3iSAE,0050N000007tO7DQAU,TRUE
0Yw0N0000062LIsSAM,0050N000007tOMcQAM,TRUE
0Yw0N0000062OX2SAM,0050N000007tRbpQAE,TRUE
0Yw0N0000062OX7SAM,0050N000007tRbuQAE,TRUE
0Yw0N0000062OXCSA2,0050N000007tRbzQAE,TRUE
0Yw0N0000062OXMSA2,0050N000007tRc9QAE,TRUE
0Yw0N0000062OXWSA2,0050N000007tRcJQAU,TRUE
0Yw0N0000062OXbSAM,0050N000007tRcOQAU,TRUE
0Yw0N0000062OXgSAM,0050N000007tRcTQAU,TRUE
0Yw0N0000062OXlSAM,0050N000007tRcYQAU,TRUE
0Yw0N0000062OXvSAM,0050N000007tRciQAE,TRUE
0Ywb0000000K58CCAS,005b0000000gAmSAAU,TRUE
0Ywb0000000K58DCAS,005b0000000gAmTAAU,TRUE
0Ywb0000000K58ICAS,005b0000000gAmYAAU,TRUE
0Ywb0000000K5AaCAK,005b0000000gAoqAAE,TRUE
0Ywb0000000K5CXCA0,005b0000000gAqnAAE,TRUE
0Ywb0000000K5CZCA0,005b0000000gAqpAAE,TRUE
0Ywb0000000K5CdCAK,005b0000000gAqtAAE,TRUE
0Ywb0000000K5EdCAK,005b0000000gAstAAE,TRUE
0Ywb0000000K5PuCAK,005b0000000gB4FAAU,TRUE
0Ywb0000000K5PxCAK,005b0000000gB4IAAU,TRUE
0Ywb0000000K9oKCAS,005b0000000gGACAA2,TRUE
0Ywb0000001ZXfLCAW,005b0000001vpJzAAI,TRUE
0Ywb0000001ZXkaCAG,005b0000001vpP9AAI,TRUE
0Ywb0000001ZmVaCAK,005b0000001w4NhAAI,TRUE
0Yw0N000005BNvhSAG,0050N000005xFhWQAU,TRUE
0Yw0N000005BdB1SAK,0050N000005xUxyQAE,TRUE
0Yw0N000005BdB6SAK,0050N000005xUy3QAE,TRUE
0Yw0N000005BdBBSA0,0050N000005xUy8QAE,TRUE
0Yw0N000005IUN1SAO,0050N000006p7whQAA,TRUE
0Yw0N000005IhZPSA0,0050N000006pLdWQAU,TRUE
0Yw0N000005IhZUSA0,0050N000006pLdbQAE,TRUE
0Yw0N000005IhZeSAK,0050N000006pLdlQAE,TRUE
0Yw0N0000062OY0SAM,0050N000007tRcnQAE,TRUE
0Yw0N0000062OY5SAM,0050N000007tRcsQAE,TRUE
0Yw0N0000062OZcSAM,0050N000007tReUQAU,TRUE
0Yw0N0000062OZhSAM,0050N000007tReZQAU,TRUE
0Yw0N0000062OZmSAM,0050N000007tReeQAE,TRUE
0Yw0N0000062OZrSAM,0050N000007tRejQAE,TRUE
0Yw0N0000062Oa1SAE,0050N000007tRetQAE,TRUE
0Yw0N0000062Oa6SAE,0050N000007tReyQAE,TRUE
0Yw0N0000062OaBSAU,0050N000007tRf3QAE,TRUE
